2021-11-28 15:57:01.519 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.oomall.coupon.CouponActivityControllerTest], using SpringBootContextLoader
2021-11-28 15:57:01.533 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.oomall.coupon.CouponActivityControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-11-28 15:57:02.191 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-11-28 15:57:02.238 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e5f4170, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c345c5f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6b5966e1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@65e61854, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1568159, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4fcee388, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6f80fafe, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3af17be2, org.springframework.test.context.event.EventPublishingTestExecutionListener@f9879ac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@37f21974, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5f4d427e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6e521c1e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@224b4d61, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5d5d9e5, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@303e3593]
2021-11-28 15:57:06.042 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-11-28 15:57:06.062 [main] INFO  c.e.xmu.oomall.coupon.CouponActivityControllerTest - Starting CouponActivityControllerTest using Java 11.0.11 on 郑仁杰的电脑 with PID 10860 (started by DELL in F:\桌面文件\OOMALL\coupon)
2021-11-28 15:57:06.065 [main] INFO  c.e.xmu.oomall.coupon.CouponActivityControllerTest - No active profile set, falling back to default profiles: default
2021-11-28 15:57:08.058 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-11-28 15:57:08.065 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-11-28 15:57:08.126 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2021-11-28 15:57:08.747 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=59b6509d-0815-33fd-9995-06bc3c725f33
2021-11-28 15:57:10.702 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-28 15:57:13.449 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-28 15:57:16.576 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2021-11-28 15:57:16.577 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2021-11-28 15:57:16.578 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2021-11-28 15:57:18.353 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2021-11-28 15:57:18.573 [main] INFO  c.e.xmu.oomall.coupon.CouponActivityControllerTest - Started CouponActivityControllerTest in 16.094 seconds (JVM running for 20.025)
2021-11-28 15:57:18.649 [main] INFO  o.s.test.context.transaction.TransactionContext - Began transaction (1) for test context [DefaultTestContext@59ac60d1 testClass = CouponActivityControllerTest, testInstance = cn.edu.xmu.oomall.coupon.CouponActivityControllerTest@1503f434, testMethod = addCouponActivity@CouponActivityControllerTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@7c8cea05 testClass = CouponActivityControllerTest, locations = '{}', classes = '{class cn.edu.xmu.oomall.coupon.CouponApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[[ImportsContextCustomizer@7af17d31 key = [org.springframework.boot.test.autoconfigure.web.servlet.MockMvcAutoConfiguration, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcWebClientAutoConfiguration, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcWebDriverAutoConfiguration, org.springframework.boot.autoconfigure.security.oauth2.client.servlet.OAuth2ClientAutoConfiguration, org.springframework.boot.autoconfigure.security.oauth2.resource.servlet.OAuth2ResourceServerAutoConfiguration, org.springframework.boot.autoconfigure.security.servlet.SecurityAutoConfiguration, org.springframework.boot.autoconfigure.security.servlet.SecurityFilterAutoConfiguration, org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcSecurityConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@66746f57, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@28e8dde3, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@773266ce, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@72c28d64, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@31000e60, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@4b3fa0b3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@64ba3208, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@7fe8ea47], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.jdbc.support.JdbcTransactionManager@40612056]; rollback [true]
2021-11-28 15:57:19.171 [main] INFO  cn.edu.xmu.oomall.core.util.Common - creatorId
