2021-11-24 16:28:59.911 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.oomall.goods.controller.OnSaleGetControllerTest], using SpringBootContextLoader
2021-11-24 16:28:59.925 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.oomall.goods.controller.OnSaleGetControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-11-24 16:28:59.928 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.oomall.goods.controller.OnSaleGetControllerTest]: OnSaleGetControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-11-24 16:29:00.860 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.edu.xmu.oomall.goods.GoodsApplication for test class cn.edu.xmu.oomall.goods.controller.OnSaleGetControllerTest
2021-11-24 16:29:01.400 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-11-24 16:29:01.461 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7e0aadd0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@21362712, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@27eb3298, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@200a26bc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@bc57b40, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1b5bc39d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@655a5d9c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1494b84d, org.springframework.test.context.event.EventPublishingTestExecutionListener@34abdee4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@71a9b4c7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4628b1d3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@77cf3f8b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1df98368, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@21ca139c, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@226f885f]
2021-11-24 16:29:02.957 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-11-24 16:29:03.144 [main] INFO  c.e.x.o.goods.controller.OnSaleGetControllerTest - Starting OnSaleGetControllerTest using Java 11.0.2 on GroundControl.local with PID 81271 (started by minzijun in /Users/minzijun/Downloads/oomall-main/goods)
2021-11-24 16:29:03.156 [main] INFO  c.e.x.o.goods.controller.OnSaleGetControllerTest - The following profiles are active: dev
2021-11-24 16:29:05.643 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-11-24 16:29:05.648 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-11-24 16:29:05.698 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces.
2021-11-24 16:29:06.132 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=f693f563-ef40-3572-ae7e-5c97b67f5c47
2021-11-24 16:29:07.107 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-24 16:29:08.225 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-24 16:29:11.524 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2021-11-24 16:29:11.524 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2021-11-24 16:29:11.525 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2021-11-24 16:29:11.755 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2021-11-24 16:29:12.182 [main] INFO  c.e.x.o.goods.controller.OnSaleGetControllerTest - Started OnSaleGetControllerTest in 10.509 seconds (JVM running for 14.487)
